Region,Buyer,Supplier,Specific Part Name
ASEAN・India・Korea,Maruti Suzuki,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ram Trucks,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Americas,BMW,Flexitech Europe SAS,Front brake hose
Japan,Peugeot,Meiji Flow Systems Co. Ltd.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(E-CVT)
Europe,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Audi,FTE automotive GmbH,Rear brake hose
China,NIO,Continental Automotive Systems (Changshu) Co. Ltd.,Brake hose
ASEAN・India・Korea,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Ford,Continental AG,Brake hose
ASEAN・India・Korea,Tata,Rane Brake Lining Ltd.,Brake Lining [Front & Rear]
Americas,Chrysler,Hitachi Astemo Americas Inc. (Formerly  Hitachi Automotive Systems Americas Inc.),Brake hose
Europe,Opel,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
Americas,Polestar,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Porsche,Cooper-Standard Holdings Inc.,Brake line
ASEAN・India・Korea,Mazda,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,Audi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Renault,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Citroen,Flexitech Inc.,Brake hose
ASEAN・India・Korea,Toyota,Inoac Tokai (Thailand) Co. Ltd.,Vacuum hose
Americas,Ford,Martinrea Slovakia Fluid Systems s.r.o.,Brake line
Americas,Toyota,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
Europe,Nissan,Cikautxo S. Coop.,Vacuum hose
ASEAN・India・Korea,Nissan,Nichirin (Thailand) Co. Ltd.,Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Brake line
Americas,Volkswagen,Flexitech Inc.,Brake hose assembly
Americas,GM,Cooper-Standard Holdings Inc.,Vacuum hose
Americas,Tesla,Proterial Cable America Inc. - Automotive Division (Formerly Hitachi Cable America Inc. - Indiana Plant),Vacuum brake hose
Europe,Citroen,Flexitech Inc.,Front brake hose
ASEAN・India・Korea,Hyundai,Hanil Tube India Private Ltd.,Brake line
China,GAC Honda,Nichirin Co. Ltd.,Hydraulic brake hose
Americas,Dodge,Flexitech Inc.,Brake hose
Europe,Mercedes-Benz,Continental AG,Front brake hose
Americas,Ford,Industrias Martinrea de Mexico S.A. de C.V.,Brake line
China,Dongfeng Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake booster line
Europe,Renault,Flexitech Inc.,Rear brake hose
Europe,Daimler,Cooper-Standard Holdings Inc.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Europe,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,Nichirin Vietnam Co. Ltd.,Brake hose
Japan,Suzuki,Nichirin Co. Ltd.,Vacuum brake hose
Americas,Dodge,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Dodge,Flexitech Inc.,Front brake hose
Americas,Nissan,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Japan,Suzuki,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Suzuki,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
ASEAN・India・Korea,Toyota,Proterial (Thailand) Ltd. (Formerly Hitachi Metals (Thailand) Ltd.),Brake hose
Europe,DS Automobiles,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line bundle assembly
Japan,Subaru,Toyoda Gosei Co. Ltd.,Vacuum brake hose
Europe,Volvo Cars,Hutchinson S.A.,Rear brake hose
Europe,BMW,Flexitech Europe SAS,Brake hose assembly
Americas,Ford,HC Queretaro S.A. de C.V.,Brake hose assembly
China,FAW Toyota,Guangzhou Maruyasu Pipeline System Co. Ltd.,Brake hose
Europe,Volkswagen,Flexitech Inc.,Brake hose
Americas,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum brake booster line
Europe,Volkswagen,FTE automotive GmbH,Brake hose
Europe,Porsche,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Front brake hose
Americas,GM,Cooper Standard Automotive Brasil Sealing Ltda.,Vacuum hose
ASEAN・India・Korea,Honda,Hanil Tube India Private Ltd.,Brake line
Europe,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Citroen,Hutchinson S.A.,Brake hose
Europe,Fiat,Continental AG,Brake hose
Europe,Opel,Flexitech Inc.,Rear brake hose
Americas,BMW,Flexitech Inc.,Brake hoses
Americas,Toyota,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Vacuum brake hose
Europe,Daimler,Flexitech Inc.,Brake hose
ASEAN・India・Korea,Honda,Nichirin (Thailand) Co. Ltd.,Brake hose
China,Dongfeng Honda,Nichirin Co. Ltd.,Hydraulic brake hose
Europe,Fiat,Teklas Kaucuk San. Ve Tic. A.S.,Brake hose
Americas,GM,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,SEAT,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,GM,Cooper-Standard Holdings Inc.,Vacuum brake line
Japan,Honda,Nichirin Co. Ltd.,Rear brake hose
Europe,Opel,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
ASEAN・India・Korea,Maruti Suzuki,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Americas,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Brake hose
ASEAN・India・Korea,Daihatsu,Toyoda Gosei (Thailand) Co. Ltd.,Brake hose
Japan,Nissan,Meiji Flow Systems Co. Ltd.,Brake hose
Japan,Suzuki,Nichirin Co. Ltd.,Brake hose
ASEAN・India・Korea,Tata,Cooper-Standard Holdings Inc.,Brake line
Europe,Daimler,A. Kayser Automotive Systems GmbH,Vacuum hose
Americas,BMW,Flexitech Inc.,Rear brake hose
Japan,Suzuki,Kinugawa Rubber Industrial Co. Ltd.,Vacuum hose
Americas,GM,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
ASEAN・India・Korea,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Fiat,DN Automotive Italy s.r.l. (Formerly C.F. Gomma S.p.A.),Front brake hose
Japan,Daihatsu,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Peugeot,Freudenberg SE,Brake hose
ASEAN・India・Korea,Hyundai,Pyung Hwa India Pvt. Ltd.,Brake booster vacuum hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5T)(6MT)
Americas,Ram Trucks,Cooper Standard Automotive FHS S. de R.L. de C.V. - Saltillo,Vacuum brake line
Americas,Tesla,Flexitech Inc.,Front brake hose
China,SAIC GM Wuling,Sichuan Chuanhuan Technology Co. Ltd.,Vacuum brake hose
Europe,Jaguar Land Rover,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Audi,Cooper-Standard Holdings Inc.,Brake hose
Europe,Peugeot,Cooper-Standard Holdings Inc.,Brake line assembly
ASEAN・India・Korea,Toyota,Toyoda Gosei (Thailand) Co. Ltd.,Brake hose
ASEAN・India・Korea,Ford,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Rolls-Royce,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Japan,Mitsubishi,Sankyo Gum Co. Ltd.,Brake hose
Americas,Ford,Martinrea International Inc.,Brake hose
Americas,Mitsubishi,Sankyo Gum Co. Ltd.,Brake hose
Americas,Volkswagen,Flexitech Europe SAS,Rear brake hose
Americas,Ram Trucks,Cooper-Standard Holdings Inc.,Vacuum brake line
Europe,Lancia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(6MT)
China,Tesla China,TI Automotive Systems (Shanghai) Co. Ltd. (Waigaoqiao Plant),Vacuum brake hose
ASEAN・India・Korea,Ford,Hanil Tube India Private Ltd.,Brake line
Europe,Porsche,Continental AG,Brake hose
Europe,Volkswagen,Hutchinson S.A.,Brake hose
Americas,GM,Martinrea International Inc.,Brake line
Europe,Audi,Flexitech Inc.,Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(CVT)
Europe,Audi,FTE automotive GmbH,Brake hose
Japan,Mitsubishi,Meiji Flow Systems Co. Ltd.,Vacuum brake hose
Japan,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose assembly
Americas,Dodge,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Rear brake hose
Americas,Mazda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose assembly
Americas,Daimler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose
Americas,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
Europe,Daimler,Veritas AG,Vacuum hose
Americas,GM,Cooper Standard Automotive FHS S. de R.L. de C.V. - Saltillo,Vacuum hose
ASEAN・India・Korea,Nissan,Imperial Auto Industries Ltd.,Brake hose
China,FAW Toyota,Tianjin Maruyasu Pipeline Systems Co. Ltd.,Brake hose
China,Zhengzhou Nissan,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose assembly
Americas,Daimler,Cooper-Standard Holdings Inc.,Vacuum brake line
Americas,Nissan,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Hanil Tube India Private Ltd.,Brake line
Americas,Chrysler,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Audi,FTE automotive GmbH,Front brake hose
Europe,Fiat,TMD Friction Holdings GmbH,Brake hose
Europe,Mercedes-Benz,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Ford,Cooper-Standard Holdings Inc.,Brake hose
Europe,Fiat,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Rigid brake line
Europe,Skoda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,GM,TI Automotive USA (Ashley Indiana),Brake line
Europe,Fiat,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Volkswagen,TI Automotive LLC,Brake line
Americas,Ford,HC Queretaro S.A. de C.V.,Brake hose
Japan,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,BMW,Cooper-Standard Holdings Inc.,Brake hose
ASEAN・India・Korea,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
Americas,Jeep,Flexitech Inc.,Rear brake hose
Europe,Fiat,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Kia,Cooper Standard Automotive India Pvt. Ltd.,Brake line
Japan,Mitsubishi,Sankyo Co. Ltd.,Brake hose
ASEAN・India・Korea,Mahindra & Mahindra,Imperial Auto Industries Ltd.,Brake hose
Japan,Nissan,Sanoh Industrial Co. Ltd.,Brake line
Americas,GM,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake booster line
Americas,Tesla,Martinrea International US Inc.,Brake line
ASEAN・India・Korea,Kia,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Mitsubishi,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Toyota,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Japan,Honda,Toyoda Gosei Co. Ltd.,Brake hose
Japan,Honda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Opel,Cooper-Standard Holdings Inc.,Brake hose
Europe,Renault,Flexitech Inc.,Brake hose
Europe,Porsche,Cooper-Standard Holdings Inc.,Brake hose
Europe,Renault,Cooper-Standard Holdings Inc.,Brake line assembly
Japan,Mitsubishi,Meiji Flow Systems Co. Ltd.,Brake hose
ASEAN・India・Korea,Renault,Hanil Tube India Private Ltd.,Brake line
Europe,Porsche,FTE automotive GmbH,Brake line
Americas,Jeep,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Daimler,Continental AG,Brake hose
ASEAN・India・Korea,Volkswagen,Hanil Tube India Private Ltd.,Brake line
China,Beijing Hyundai,Tianjin Pyung Hwa Auto Parts Co. Ltd.,Vaccum brake hose
Americas,Volkswagen,Flexitech Automotive Mexico S. de R.L. de C.V.,Brake hose
Europe,Renault,Flexitech Inc.,Front brake hose
Americas,Tesla,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose assembly
Americas,Dodge,Proterial Cable America Inc. (Formerly Hitachi Cable America Inc.),Brake hose
Americas,Ford,Cooper-Standard Holdings Inc.,Brake hose
Americas,Toyota,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Peugeot,ZF Active Safety And Electronics US LLC (Formerly TRW Automotive),Brake hose
Europe,Nissan,Cikautxo S. Coop.,Brake hose
Japan,Mazda,Meiji Flow Systems Co. Ltd.,Brake hose
Americas,GM,Flexitech Europe SAS,Front brake hose
Americas,Chrysler,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Americas,BMW,FTE automotive GmbH,Brake hose
Europe,Volkswagen,A. Kayser Automotive Systems GmbH,Vacuum brake hose
Japan,Toyota,Toyoda Gosei Co. Ltd.,Rear brake hose
ASEAN・India・Korea,Toyota,Toyoda Gosei Minda India Pvt. Ltd. - Bawal Plant2 (Formerly MINDA TG Rubber Pvt. Ltd.),Rear brake hose
Europe,Volvo Cars,Hutchinson S.A.,Front brake hose
Americas,GM,Cooper-Standard Holdings Inc.,Brake line
Europe,BMW,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,GM,Industrias Martinrea de Mexico S.A. de C.V.,Brake line
Europe,Bentley,Continental AG,Brake hose
Americas,Rivian,TI Automotive LLC,Brake line
Americas,Nissan,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Daimler,Continental AG,Brake hoses
Europe,Alfa Romeo,Continental AG,Brake hose
Japan,Honda,Nichirin Co. Ltd.,Brake hose
Europe,Renault,Hutchinson S.A.,Vacuum brake hose
Americas,Volvo Cars,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
ASEAN・India・Korea,Suzuki,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Opel,Flexitech Inc.,Front brake hose
Europe,Hyundai,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Americas,Honda,Toyoda Gosei Co. Ltd.,Brake booster vacuum hose
Americas,Ford,Flexitech Inc.,Brake hose
Europe,Tesla,Martinrea Bergneustadt GmbH (Formerly Metalsa - Bergneustadt Plant),Brake line
Americas,Volkswagen,Continental AG,Brake hose
China,Dongfeng Peugeot Citroen,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.2T)(6DCT)
ASEAN・India・Korea,Honda,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
China,GAC Honda,Suzhou Nichirin Automobile Parts Co. Ltd.,Brake hose(1.5L)(6MT)
Japan,Nissan,Nichirin Co. Ltd.,Brake hose
Europe,Porsche,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Europe,Porsche,A. Kayser Automotive Systems GmbH,Vacuum hose
Japan,Honda,Nichirin Co. Ltd.,Front brake hose
Americas,BMW,Flexitech Inc.,Brake hose
ASEAN・India・Korea,GM,Cooper-Standard Holdings Inc.,Brake line
Americas,Honda,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
Europe,Skoda,Continental AG,Brake hose
Americas,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Vacuum brake hose assembly
Europe,Ford,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake hose
Americas,Nissan,Proterial Ltd. (Formerly Hitachi Metals Ltd.),Brake hose
Europe,Alfa Romeo,Continental Automotive Technologies GmbH - World HQ + Flankfurt Plant (Formerly Continental Teves AG & Co. oHG),Front brake hose
Europe,BMW,Flexitech Inc.,Rear brake hose
Europe,Citroen,TI Fluid Systems Plc. (Formerly TI Automotive Limited),Brake line
